,match_id,team_id,team,minute,team_goals,yellow_cards,shots_generated,red_cards,score_differential,outcome,final_third_percentage,max_minute_game,minute_percentage,home_away,final_goals
53,3754037,28,AFC Bournemouth,55,1,0,6,0,0,0,0.054296358333333336,94,59.0,0,1
54,3754037,28,AFC Bournemouth,56,1,0,6,0,0,0,0.04295461166666667,94,60.0,0,1
55,3754037,28,AFC Bournemouth,57,1,0,6,0,0,0,0.03743140666666667,94,61.0,0,1
56,3754037,28,AFC Bournemouth,58,1,0,7,0,0,0,0.054627930000000005,94,62.0,0,1
57,3754037,28,AFC Bournemouth,59,1,0,8,0,0,0,0.05573564833333333,94,63.0,0,1
58,3754037,28,AFC Bournemouth,60,1,0,8,0,0,0,0.05573564833333333,94,64.0,0,1
59,3754037,28,AFC Bournemouth,61,1,1,8,0,0,0,0.062760385,94,65.0,0,1
60,3754037,28,AFC Bournemouth,62,1,1,9,0,0,0,0.06443397666666666,94,66.0,0,1
61,3754037,28,AFC Bournemouth,63,1,1,9,0,-1,0,0.06295253833333334,94,67.0,0,1
62,3754037,28,AFC Bournemouth,64,1,1,9,0,-1,0,0.05307426833333333,94,68.0,0,1
63,3754037,28,AFC Bournemouth,65,1,1,9,0,-1,0,0.034496915,94,69.0,0,1
64,3754037,28,AFC Bournemouth,66,1,1,9,0,-1,0,0.03384559499999999,94,70.0,0,1
65,3754037,28,AFC Bournemouth,67,1,1,9,0,-1,0,0.027002569999999993,94,71.0,0,1
66,3754037,28,AFC Bournemouth,68,1,1,9,0,-1,0,0.009806046666666667,94,72.0,0,1
67,3754037,28,AFC Bournemouth,69,1,1,11,0,-1,0,0.021760966666666666,94,73.0,0,1
68,3754037,28,AFC Bournemouth,70,1,1,12,0,-1,0,0.05273134833333334,94,74.0,0,1
69,3754037,28,AFC Bournemouth,71,1,1,12,0,-1,0,0.07056141666666667,94,76.0,0,1
70,3754037,28,AFC Bournemouth,72,1,1,12,0,-1,0,0.068887825,94,77.0,0,1
71,3754037,28,AFC Bournemouth,73,1,1,12,0,-1,0,0.09367679,94,78.0,0,1
72,3754037,28,AFC Bournemouth,74,1,1,12,0,-1,0,0.09817897833333335,94,79.0,0,1
73,3754037,28,AFC Bournemouth,75,1,1,12,0,-1,0,0.10304164666666667,94,80.0,0,1
74,3754037,28,AFC Bournemouth,76,1,1,13,0,-1,0,0.11121219499999999,94,81.0,0,1
75,3754037,28,AFC Bournemouth,77,1,1,14,0,-1,0,0.11341003166666667,94,82.0,0,1
76,3754037,28,AFC Bournemouth,78,1,1,14,0,-1,0,0.11341003166666667,94,83.0,0,1
77,3754037,28,AFC Bournemouth,79,1,1,14,0,-1,0,0.10079797833333334,94,84.0,0,1
78,3754037,28,AFC Bournemouth,80,1,1,14,0,-1,0,0.08199624333333333,94,85.0,0,1
79,3754037,28,AFC Bournemouth,81,1,1,15,0,-1,0,0.06637440333333335,94,86.0,0,1
80,3754037,28,AFC Bournemouth,82,1,1,15,0,-1,0,0.06830423333333333,94,87.0,0,1
81,3754037,28,AFC Bournemouth,83,1,1,15,0,-1,0,0.05698531166666666,94,88.0,0,1
82,3754037,28,AFC Bournemouth,84,1,1,15,0,-1,0,0.059050996666666675,94,89.0,0,1
83,3754037,28,AFC Bournemouth,85,1,1,15,0,-1,0,0.08618705000000002,94,90.0,0,1
84,3754037,28,AFC Bournemouth,86,1,1,15,0,-1,0,0.08060395333333334,94,91.0,0,1
85,3754037,28,AFC Bournemouth,87,1,1,15,0,-1,0,0.07955336,94,93.0,0,1
86,3754037,28,AFC Bournemouth,88,1,1,16,0,-1,0,0.09217669999999999,94,94.0,0,1
87,3754037,28,AFC Bournemouth,89,1,1,16,0,-1,0,0.10001186666666666,94,95.0,0,1
88,3754037,28,AFC Bournemouth,90,1,1,16,0,-1,0,0.09720422167000001,94,96.0,0,1
89,3754037,28,AFC Bournemouth,91,1,1,16,0,-1,0,0.13682083333666667,94,97.0,0,1
90,3754037,28,AFC Bournemouth,92,1,1,16,0,-1,0,0.14588095000333332,94,98.0,0,1
91,3754037,28,AFC Bournemouth,93,1,1,16,0,-1,0,0.13241090667,94,99.0,0,1
92,3754037,28,AFC Bournemouth,94,1,1,16,0,-1,0,0.12584303333666666,94,100.0,0,1
93,3754037,29,Everton,0,0,0,0,0,0,1,0.10583046167000001,94,0.0,1,2
94,3754037,29,Everton,1,0,0,0,0,0,1,0.10702258000333334,94,1.0,1,2
95,3754037,29,Everton,2,0,0,0,0,0,1,0.11928057333666667,94,2.0,1,2
96,3754037,29,Everton,3,0,0,0,0,0,1,0.10665723333666668,94,3.0,1,2
97,3754037,29,Everton,4,0,0,0,0,0,1,0.09837148167,94,4.0,1,2
98,3754037,29,Everton,5,0,0,0,0,0,1,0.08901047999999999,94,5.0,1,2
99,3754037,29,Everton,6,1,0,1,0,1,1,0.06483116,94,6.0,1,2
100,3754037,29,Everton,7,1,0,1,0,1,1,0.05493642333333333,94,7.000000000000001,1,2
101,3754037,29,Everton,8,1,0,1,0,0,1,0.05493642333333334,94,9.0,1,2
102,3754037,29,Everton,9,1,0,1,0,0,1,0.05493642333333334,94,10.0,1,2
103,3754037,29,Everton,10,1,0,1,0,0,1,0.04295027333333333,94,11.0,1,2
104,3754037,29,Everton,11,1,0,1,0,0,1,0.039170703333333334,94,12.0,1,2
105,3754037,29,Everton,12,1,0,1,0,0,1,0.025765466666666664,94,13.0,1,2
106,3754037,29,Everton,13,1,0,1,0,0,1,0.026881339999999997,94,14.000000000000002,1,2
107,3754037,29,Everton,14,1,0,1,0,0,1,0.026881339999999997,94,15.0,1,2
108,3754037,29,Everton,15,1,0,1,0,0,1,0.045298954999999995,94,16.0,1,2
109,3754037,29,Everton,16,1,0,1,0,0,1,0.020628698333333334,94,17.0,1,2
110,3754037,29,Everton,17,1,0,2,0,0,1,0.029665340000000002,94,18.0,1,2
111,3754037,29,Everton,18,1,0,2,0,0,1,0.03418077666666666,94,19.0,1,2
112,3754037,29,Everton,19,1,0,2,0,0,1,0.03418077666666666,94,20.0,1,2
113,3754037,29,Everton,20,1,0,2,0,0,1,0.03856454833333334,94,21.0,1,2
114,3754037,29,Everton,21,1,0,2,0,0,1,0.03856454833333334,94,22.0,1,2
115,3754037,29,Everton,22,1,0,2,0,0,1,0.03856454833333334,94,23.0,1,2
116,3754037,29,Everton,23,1,0,2,0,0,1,0.037448675,94,24.0,1,2
117,3754037,29,Everton,24,1,0,2,0,0,1,0.03974515,94,26.0,1,2
118,3754037,29,Everton,25,1,0,3,0,0,1,0.0436835,94,27.0,1,2
119,3754037,29,Everton,26,1,0,3,0,0,1,0.0436835,94,28.000000000000004,1,2
120,3754037,29,Everton,27,1,0,3,0,0,1,0.033551648333333337,94,28.999999999999996,1,2
121,3754037,29,Everton,28,1,0,3,0,0,1,0.029036211666666666,94,30.0,1,2
122,3754037,29,Everton,29,1,0,3,0,0,1,0.03804297333333333,94,31.0,1,2
123,3754037,29,Everton,30,1,0,3,0,0,1,0.04673258666666667,94,32.0,1,2
124,3754037,29,Everton,31,1,0,3,0,0,1,0.04673258666666667,94,33.0,1,2
125,3754037,29,Everton,32,1,0,3,0,0,1,0.05077206000000001,94,34.0,1,2
126,3754037,29,Everton,33,1,0,3,0,0,1,0.05364221,94,35.0,1,2
127,3754037,29,Everton,34,1,0,3,0,0,1,0.05351998000000001,94,36.0,1,2
128,3754037,29,Everton,35,1,0,5,0,0,1,0.03610000166666667,94,37.0,1,2
129,3754037,29,Everton,36,1,0,5,0,0,1,0.038565333333333326,94,38.0,1,2
130,3754037,29,Everton,37,1,0,5,0,0,1,0.038565333333333326,94,39.0,1,2
131,3754037,29,Everton,38,1,0,5,0,0,1,0.052804395000000004,94,40.0,1,2
132,3754037,29,Everton,39,1,0,5,0,0,1,0.050169791666666665,94,41.0,1,2
133,3754037,29,Everton,40,1,0,5,0,0,1,0.03821017166666667,94,43.0,1,2
134,3754037,29,Everton,41,1,0,5,0,0,1,0.04263727166666667,94,44.0,1,2
135,3754037,29,Everton,42,1,0,6,0,0,1,0.06115813499999999,94,45.0,1,2
136,3754037,29,Everton,43,1,0,6,0,0,1,0.058287985,94,46.0,1,2
137,3754037,29,Everton,44,1,0,6,0,0,1,0.05611374,94,47.0,1,2
138,3754037,29,Everton,45,1,0,6,0,0,1,0.05117775333333333,94,48.0,1,2
139,3754037,29,Everton,46,1,0,6,0,0,1,0.050627558333333336,94,49.0,1,2
140,3754037,29,Everton,47,1,0,6,0,0,1,0.07057216833333332,94,50.0,1,2
141,3754037,29,Everton,48,1,0,6,0,0,1,0.05633310666666667,94,51.0,1,2
142,3754037,29,Everton,49,1,0,6,0,0,1,0.06425129333333333,94,52.0,1,2
143,3754037,29,Everton,52,1,0,6,0,0,1,0.05440283666666666,94,55.00000000000001,1,2
144,3754037,29,Everton,53,1,0,7,0,0,1,0.07397070333333333,94,56.00000000000001,1,2
145,3754037,29,Everton,54,1,0,7,0,0,1,0.07397070333333333,94,56.99999999999999,1,2
146,3754037,29,Everton,55,1,0,7,0,0,1,0.07397070333333333,94,59.0,1,2
147,3754037,29,Everton,56,1,0,7,0,0,1,0.07205556666666665,94,60.0,1,2
148,3754037,29,Everton,57,1,0,7,0,0,1,0.052110956666666666,94,61.0,1,2
149,3754037,29,Everton,58,1,0,7,0,0,1,0.052110956666666666,94,62.0,1,2
150,3754037,29,Everton,59,1,0,7,0,0,1,0.03782061166666666,94,63.0,1,2
151,3754037,29,Everton,60,1,0,7,0,0,1,0.03782061166666666,94,64.0,1,2
152,3754037,29,Everton,61,1,-1,7,0,0,1,0.03782061166666666,94,65.0,1,2
153,3754037,29,Everton,62,1,-1,7,0,0,1,0.025535478333333334,94,66.0,1,2
154,3754037,29,Everton,63,2,-1,8,0,1,1,0.011589488333333332,94,67.0,1,2
155,3754037,29,Everton,64,2,-1,9,0,1,1,0.021762236666666667,94,68.0,1,2
156,3754037,29,Everton,65,2,-1,10,0,1,1,0.03501773833333334,94,69.0,1,2
157,3754037,29,Everton,66,2,-1,10,0,1,1,0.045347508333333335,94,70.0,1,2
158,3754037,29,Everton,67,2,-1,10,0,1,1,0.046604775,94,71.0,1,2
159,3754037,29,Everton,68,2,-1,10,0,1,1,0.05791561333333334,94,72.0,1,2
160,3754037,29,Everton,69,2,-1,10,0,1,1,0.05791561333333334,94,73.0,1,2
161,3754037,29,Everton,70,2,-1,11,0,1,1,0.07058961999999999,94,74.0,1,2
162,3754037,29,Everton,71,2,-1,11,0,1,1,0.07058961999999999,94,76.0,1,2
163,3754037,29,Everton,72,2,-1,11,0,1,1,0.06462200833333333,94,77.0,1,2
164,3754037,29,Everton,73,2,-1,11,0,1,1,0.059000131666666664,94,78.0,1,2
165,3754037,29,Everton,74,2,-1,11,0,1,1,0.048827383333333335,94,79.0,1,2
166,3754037,29,Everton,75,2,-1,11,0,1,1,0.06902971166666667,94,80.0,1,2
167,3754037,29,Everton,76,2,-1,11,0,1,1,0.058699941666666665,94,81.0,1,2
168,3754037,29,Everton,77,2,-1,11,0,1,1,0.057442675,94,82.0,1,2
169,3754037,29,Everton,78,2,-1,11,0,1,1,0.04613183666666666,94,83.0,1,2
170,3754037,29,Everton,79,2,-1,11,0,1,1,0.04613183666666666,94,84.0,1,2
171,3754037,29,Everton,80,2,-1,11,0,1,1,0.03345783000000001,94,85.0,1,2
172,3754037,29,Everton,81,2,-1,11,0,1,1,0.038414245,94,86.0,1,2
173,3754037,29,Everton,82,2,-1,11,0,1,1,0.05100829333333333,94,87.0,1,2
174,3754037,29,Everton,83,2,-1,11,0,1,1,0.05100829333333333,94,88.0,1,2
175,3754037,29,Everton,84,2,-1,11,0,1,1,0.05100829333333333,94,89.0,1,2
176,3754037,29,Everton,85,2,-1,11,0,1,1,0.017550463333333335,94,90.0,1,2
177,3754037,29,Everton,86,2,-1,11,0,1,1,0.017550463333333335,94,91.0,1,2
178,3754037,29,Everton,87,2,-1,11,0,1,1,0.03305675833333333,94,93.0,1,2
179,3754037,29,Everton,88,2,-1,11,0,1,1,0.03305675833333333,94,94.0,1,2
180,3754037,29,Everton,89,2,-1,11,0,1,1,0.03414421,94,95.0,1,2
181,3754037,29,Everton,90,2,-1,11,0,1,1,0.03414421,94,96.0,1,2
182,3754037,29,Everton,91,2,-1,11,0,1,1,0.029187795,94,97.0,1,2
183,3754037,29,Everton,92,2,-1,11,0,1,1,0.016593746666666666,94,98.0,1,2
184,3754037,29,Everton,93,2,-1,11,0,1,1,0.018808191666666665,94,99.0,1,2
185,3754037,29,Everton,94,2,-1,11,0,1,1,0.02011215833333333,94,100.0,1,2
186,3754039,31,Crystal Palace,0,0,0,0,0,0,0,0.0,97,0.0,1,1
187,3754039,31,Crystal Palace,1,0,0,0,0,0,0,0.0,97,1.0,1,1
188,3754039,31,Crystal Palace,2,0,0,0,0,0,0,0.0,97,2.0,1,1
189,3754039,31,Crystal Palace,3,0,0,0,0,0,0,0.0,97,3.0,1,1
190,3754039,31,Crystal Palace,4,0,0,0,0,0,0,0.0,97,4.0,1,1
191,3754039,31,Crystal Palace,5,0,0,0,0,0,0,0.0,97,5.0,1,1
192,3754039,31,Crystal Palace,6,0,0,0,0,0,0,0.0,97,6.0,1,1
193,3754039,31,Crystal Palace,7,0,0,0,0,0,0,0.0,97,7.000000000000001,1,1
